decision,scope,title,authors,year,journal,publisher,doi,landing_url,pdf_url,discovered_in,queries,existing_source_id,existing_title_score,validation_basis
eligible,Global interbasin-transfer literature,Research on Scale Demonstration Technology of Inter Basin Water Transfer Project in Agricultural Irrigation,Jianhua Wang | Baodeng Hou | Yong Zhao | Weihua Xiao | Fan Lu,2021,Water Resources Management,Springer Science and Business Media LLC,10.1007/s11269-021-02999-w,https://doi.org/10.1007/s11269-021-02999-w,https://link.springer.com/content/pdf/10.1007/s11269-021-02999-w.pdf,Crossref,inter-basin water transfer,,0.625,resolving DOI
eligible,Global interbasin-transfer literature,Deriving operating rules for inter-basin water transfer projects incorporating a scenario reduction strategy,Bo Ming | Huayu Zhong | Wei Zhang | Guang Yang | Zeqian Zhao | Qiang Huang,2023,Journal of Hydrology,Elsevier BV,10.1016/j.jhydrol.2023.129854,https://doi.org/10.1016/j.jhydrol.2023.129854,,Crossref,inter-basin water transfer,,0.5631,resolving DOI
hold,Global interbasin-transfer literature,Inter-Basin Water Transfer Green Supply Chain Equilibrium and Coordination under Social Welfare Maximization,Zhisong Chen | Lingling Pei,2018,Sustainability,MDPI AG,10.3390/su10041229,https://doi.org/10.3390/su10041229,,Crossref,inter-basin water transfer,,0.625,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Study on Ecological Compensation of Inter-Basin Water Transfer Based on Evolutionary Game Theory,Zhuoyue Peng | Hangrong Pu | Yubin Liang,2022,Water,MDPI AG,10.3390/w14213498,https://doi.org/10.3390/w14213498,,Crossref,inter-basin water transfer,,0.6364,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Inter-Basin Water Transfer Impact Assessment on Environment of Pennar to Cauvery Link Canal,B. S. Prakasa Rao | S. V. J. S. S. Rajesh | K. Niranjan,2016,IRA-International Journal of Technology &amp; Engineering (ISSN 2455-4480),IRA Academico Research,10.21013/jte.v3.n3.p8,https://doi.org/10.21013/jte.v3.n3.p8,,Crossref,inter-basin water transfer,,0.75,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,Inter-Basin Water Transfer Supply Chain Equilibrium and Coordination: A Social Welfare Maximization Perspective,Zhisong Chen | Shong-Iee Ivan Su | Huimin Wang,2019,Water Resources Management,Springer Science and Business Media LLC,10.1007/s11269-019-02269-w,https://doi.org/10.1007/s11269-019-02269-w,http://link.springer.com/content/pdf/10.1007/s11269-019-02269-w.pdf,Crossref,inter-basin water transfer,,0.625,resolving DOI
eligible,Global interbasin-transfer literature,Application of Machine Learning-based Energy Use Forecasting for Inter-basin Water Transfer Project,Sooyeon Yi | G. Mathias Kondolf | Samuel Sandoval-Solis | Larry Dale,2022,Water Resources Management,Springer Science and Business Media LLC,10.1007/s11269-022-03326-7,https://doi.org/10.1007/s11269-022-03326-7,https://link.springer.com/content/pdf/10.1007/s11269-022-03326-7.pdf,Crossref,inter-basin water transfer,,0.625,resolving DOI
hold,Global interbasin-transfer literature,Study on Urban Rainfall–Runoff Model under the Background of Inter-Basin Water Transfer,Jiashuai Yang | Chaowei Xu | Xinran Ni | Xuantong Zhang,2022,Water,MDPI AG,10.3390/w14172660,https://doi.org/10.3390/w14172660,,Crossref,inter-basin water transfer,,0.7273,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,The Combined Effects of Inter-Basin Water Transfer and Land Use Change on Water Supply-Demand Risk,Yuhang Zhao | Xuehua Zhao | Qiucen Guo | Wenyu Wu | Zhijing Ren,2023,,Research Square Platform LLC,10.21203/rs.3.rs-3272328/v1,https://doi.org/10.21203/rs.3.rs-3272328/v1,,Crossref,inter-basin water transfer,,0.75,resolving DOI
eligible,Global interbasin-transfer literature,A Quantity-Quality Model for Inter-basin Water Transfer System Using Game Theoretic and Virtual Water Approaches,Hamidreza Dehghan Manshadi | Mohammad Hossein Niksokhan | Mojtaba Ardestani,2015,Water Resources Management,Springer Science and Business Media LLC,10.1007/s11269-015-1076-x,https://doi.org/10.1007/s11269-015-1076-x,http://link.springer.com/content/pdf/10.1007/s11269-015-1076-x.pdf,Crossref,inter-basin water transfer,,0.625,resolving DOI
eligible,Global interbasin-transfer literature,Comprehensive Assessment of Ecological Water Replenishment Effects from Inter-basin Water Transfer in Arid Inland River Basins,Lei Yu | Benyou Jia | Shiqiang Wu | Xiufeng Wu | Luchen Zhang,2026,,Copernicus GmbH,10.5194/egusphere-egu26-16238,https://doi.org/10.5194/egusphere-egu26-16238,,Crossref,inter-basin water transfer,,0.75,resolving DOI
eligible,Global interbasin-transfer literature,Unraveling the effect of inter-basin water transfer on reducing water scarcity and its inequality in China,Siao Sun | Xian Zhou | Haixing Liu | Yunzhong Jiang | Huicheng Zhou | Chi Zhang | Guangtao Fu,2021,Water Research,Elsevier BV,10.1016/j.watres.2021.116931,https://doi.org/10.1016/j.watres.2021.116931,,Crossref,inter-basin water transfer,,0.75,resolving DOI
eligible,Global interbasin-transfer literature,Water-carbon intensity transition driven by the inter-basin water transfer project: spatiotemporal patterns and attribution analysis,Jingru Ji | Jingwen Zhang | Zejun Li | Danni Jia | Tianzi Wang | Kairong Lin | Xiaohong Chen,2026,Journal of Cleaner Production,Elsevier BV,10.1016/j.jclepro.2026.147890,https://doi.org/10.1016/j.jclepro.2026.147890,,Crossref,inter-basin water transfer,,0.625,resolving DOI
eligible,Global interbasin-transfer literature,Impacts of inter-basin water transfer and land use changes on water yield service supply–demand risk,Yuhang Zhao | Xuehua Zhao | Qiucen Guo | Xingtao Fu,2025,Environmental Monitoring and Assessment,Springer Science and Business Media LLC,10.1007/s10661-025-14450-3,https://doi.org/10.1007/s10661-025-14450-3,https://link.springer.com/content/pdf/10.1007/s10661-025-14450-3.pdf,Crossref,inter-basin water transfer,,0.75,resolving DOI
eligible,Global interbasin-transfer literature,Effect of long-distance inter-basin water transfer on the bioavailability of Cu for the receiving water,Yan Zhang | Lei Kang | Shiwei Geng | Jinmei Wang | Cuiling Tan | Xiaoqiao Wang | Weijie Xu | Man Chai,2019,Environmental Science and Pollution Research,Springer Science and Business Media LLC,10.1007/s11356-019-04842-7,https://doi.org/10.1007/s11356-019-04842-7,http://link.springer.com/content/pdf/10.1007/s11356-019-04842-7.pdf,Crossref,inter-basin water transfer,,0.6364,resolving DOI
eligible,Global interbasin-transfer literature,Quantitative assessment and analysis of the impact of inter-basin water transfer on regional water resource stress,Lichuan Wang | Fan He | Yong Zhao | Jianhua Wang | Meng Hao | Peiyi Lu | Yage Jia | Kuan Liu | Haodong Deng,2025,Journal of Hydrology,Elsevier BV,10.1016/j.jhydrol.2025.133090,https://doi.org/10.1016/j.jhydrol.2025.133090,,Crossref,inter-basin water transfer,,0.75,resolving DOI
eligible,Global interbasin-transfer literature,Adaptive Reservoir Operation Management Considering the Influence of Inter-Basin Water Transfer Project on Inflow,Xiaoqi Zhang | Yuan Yang | Yongqiang Wang | Yinghai Li,2023,Lecture Notes in Civil Engineering,Springer Nature Singapore,10.1007/978-981-99-1919-2_5,https://doi.org/10.1007/978-981-99-1919-2_5,,Crossref,inter-basin water transfer,,0.6364,resolving DOI
eligible,Global interbasin-transfer literature,"A new framework for integrated, holistic, and transparent evaluation of inter-basin water transfer schemes",Pammi Sinha | Edward Rollason | Louise J. Bracken | John Wainwright | Sim M. Reaney,2020,Science of The Total Environment,Elsevier BV,10.1016/j.scitotenv.2020.137646,https://doi.org/10.1016/j.scitotenv.2020.137646,,Crossref,inter-basin water transfer,,0.75,resolving DOI
eligible,Global interbasin-transfer literature,Coordinated regulation of inter-basin water transfer projects and cascade reservoirs incorporating fairness and efficiency,Chen Niu | Jianxia Chang | Yimin Wang | Aijun Guo | Xuebin Wang | Zhehao Li,2026,Journal of Hydrology,Elsevier BV,10.1016/j.jhydrol.2026.135647,https://doi.org/10.1016/j.jhydrol.2026.135647,,Crossref,inter-basin water transfer,,0.75,resolving DOI
eligible,Global interbasin-transfer literature,Particle Swarm Optimization applied to Multi-Reservoir Operating Policy in Inter-Basin Water Transfer System,Laassilia Oussama | Ouazar Driss | Bouziane Ahmed | Hasnaoui Moulay Driss,2019,2019 5th International Conference on Optimization and Applications (ICOA),IEEE,10.1109/icoa.2019.8727645,https://doi.org/10.1109/icoa.2019.8727645,,Crossref,inter-basin water transfer,,0.5243,resolving DOI
eligible,Global interbasin-transfer literature,Stream Flow Impacts of Inter-Basin Water Transfer: A Case Study of the Nethravathi River,V. V. Sachin Ramesh | C. Deepa | H. Ramesh,2026,Deltas of the World,Springer Nature Switzerland,10.1007/978-3-032-06500-1_5,https://doi.org/10.1007/978-3-032-06500-1_5,,Crossref,inter-basin water transfer,,0.7273,resolving DOI
eligible,Global interbasin-transfer literature,Inter-basin water transfer-supply model and risk analysis with consideration of rainfall forecast information,ShuFeng Xi | BenDe Wang | GuoHua Liang | XueSen Li | LiLi Lou,2010,Science China Technological Sciences,Springer Science and Business Media LLC,10.1007/s11431-010-4170-6,https://doi.org/10.1007/s11431-010-4170-6,http://link.springer.com/content/pdf/10.1007/s11431-010-4170-6.pdf,Crossref,inter-basin water transfer,,0.75,resolving DOI
hold,Global interbasin-transfer literature,Impact of Inter‐Basin Water Transfer Projects on Regional Ecological Security from a Telecoupling Perspective,Yuan Quan | Chenxing Wang | Yan Yan | Gang Wu | Hongxun Zhang,2016,Sustainability,MDPI AG,10.3390/su8020162,https://doi.org/10.3390/su8020162,,Crossref,inter-basin water transfer,,0.7,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,Climate Change and Interlinking of Indian Rivers: Lessons from Canadian Inter-Basin Water Transfer Experiences,Deepak Kumar Das,2019,"Nation-Building, Education and Culture in India and Canada",Springer Singapore,10.1007/978-981-13-6741-0_8,https://doi.org/10.1007/978-981-13-6741-0_8,,Crossref,inter-basin water transfer,,0.875,resolving DOI
eligible,Global interbasin-transfer literature,Determination of drought limit water level of importing reservoir in inter-basin water transfer project under changing environment,Jiezhao Wu | Fawen Li | Yong Zhao | Runxiang Cao,2018,Theoretical and Applied Climatology,Springer Science and Business Media LLC,10.1007/s00704-018-2683-2,https://doi.org/10.1007/s00704-018-2683-2,http://link.springer.com/content/pdf/10.1007/s00704-018-2683-2.pdf,Crossref,inter-basin water transfer,,0.625,resolving DOI
eligible,Global interbasin-transfer literature,A multi-scale multi-objective optimization model for water resources scheduling in complex inter-basin water transfer systems,Yuqin Gao | Meijuan Xia | Jingwen Zhang | Xilan Tan | Chenyu Yuan,2025,Journal of Hydrology,Elsevier BV,10.1016/j.jhydrol.2025.134032,https://doi.org/10.1016/j.jhydrol.2025.134032,,Crossref,inter-basin water transfer,,0.5,resolving DOI
eligible,Global interbasin-transfer literature,"Potential Inter-basin Water Transfer from the Kelani River to Mahaweli River, Sri Lanka to Mitigate Water Issues",,2025,International Journal of Environmental Science and Development,EJournal Publishing,10.18178/ijesd.2025.16.1.1508,https://doi.org/10.18178/ijesd.2025.16.1.1508,,Crossref,inter-basin water transfer,,0.5149,resolving DOI
eligible,Global interbasin-transfer literature,Modeling the evolution of water-environment-economy coupling system with the impacts of inter-basin water transfer project,Danni Jia | Jingwen Zhang | Zejun Li | Maoyuan Feng | Kairong Lin | Xiaohong Chen | Xiaohui Lei | Lixin He | Chao Ma | Jingru Ji,2026,Journal of Hydrology,Elsevier BV,10.1016/j.jhydrol.2025.134732,https://doi.org/10.1016/j.jhydrol.2025.134732,,Crossref,inter-basin water transfer,,0.6364,resolving DOI
eligible,Global interbasin-transfer literature,"Environmental impacts of inter-basin water transfer on water quality in the jundiaí-mirim river, south-east brazil",Fernando Henrique Machado | Erik Sartori Jeunon Gontijo | Frederico Guilherme De Souza Beghelli | Felipe Hashimoto Fengler | Gerson Araujo De Medeiros | Afonso Peche Filho | Jener Fernando Leite De Moraes | Regina Marcia Longo | Admilson Irio Ribeiro,2018,"International Journal of Environmental Impacts: Management, Mitigation and Recovery",Acadlore Publishing Services Limited,10.2495/ei-v1-n1-80-91,https://doi.org/10.2495/ei-v1-n1-80-91,,Crossref,inter-basin water transfer,,0.7273,resolving DOI
eligible,Global interbasin-transfer literature,Exploring the water availability and efficiency of inter-basin water transfer projects of urban water supply systems under climate change,Gokhan Cuceloglu | Saeid Ashraf Vaghefi | Karim C. Abbaspour | Izzet Ozturk,2025,Urban Climate,Elsevier BV,10.1016/j.uclim.2025.102582,https://doi.org/10.1016/j.uclim.2025.102582,,Crossref,inter-basin water transfer,,0.75,resolving DOI
hold,Global interbasin-transfer literature,Inter‐basin water transfers in the United States,Philip P. Micklin,2007,International Journal of Water Resources Development,Informa UK Limited,10.1080/07900628408722314,https://doi.org/10.1080/07900628408722314,,Crossref,inter-basin water transfer,,0.75,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Inter‐basin water diversions: Canadian experiences and perspectives,W. R. Derrick Sewell,2007,International Journal of Water Resources Development,Informa UK Limited,10.1080/07900628408722313,https://doi.org/10.1080/07900628408722313,,Crossref,inter-basin water transfer,,0.625,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Ecosystem Health Assessment of the Luapula River Basin in Zambia Using Macroinvertebrate Assemblage: A Potential for Inter-Basin Water Transfer,Nathan Nyambe | Chalwe Chibwe | Kawawa Banda | Henry  M. Sichingabula | Imasiku Nyambe,2024,,Elsevier BV,10.2139/ssrn.5039967,https://doi.org/10.2139/ssrn.5039967,,Crossref,inter-basin water transfer,,0.75,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Inter-Basin Water Transfer Projects and Climate Change: The Role of Allocation Protocols in Economic Efficiency of the Project. Case Study: Dez to Qomrood Inter-Basin Water Transmission Project (Iran),Reza Maknoon | Masoud Kazem | Maryam Hasanzadeh,2012,Journal of Water Resource and Protection,"Scientific Research Publishing, Inc.",10.4236/jwarp.2012.49085,https://doi.org/10.4236/jwarp.2012.49085,https://www.scirp.org/journal/paperinformation?paperid=22510,Crossref,inter-basin water transfer,,0.75,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,Economic evaluation of the proposed alternatives of inter-basin water transfer from the Baro Akobo to Awash basin in Ethiopia,Dereje Adeba | M. L. Kansal | Sumit Sen,2016,Sustainable Water Resources Management,Springer Science and Business Media LLC,10.1007/s40899-016-0058-3,https://doi.org/10.1007/s40899-016-0058-3,http://link.springer.com/content/pdf/10.1007/s40899-016-0058-3.pdf,Crossref,inter-basin water transfer,,0.625,resolving DOI
hold,Global interbasin-transfer literature,Research Status and Emerging Trends in the Comprehensive Impact of Inter-Basin Water Transfer Projects (IBWTs),Tao Han | Laihong Jing | Dengming Yan | Yisi Lu | Xinying Fan,2025,Water,MDPI AG,10.3390/w17202981,https://doi.org/10.3390/w17202981,,Crossref,inter-basin water transfer,,0.75,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,Cost-sharing mechanisms for safeguarding water quality in inter-basin water transfer projects: A Stackelberg–evolutionary game analytical framework,Xinyu Liu | Junfei Chen | Menghua Deng | Tonghui Ding | Juan Ji | Chuanyi Wang | Wentong Yang,2026,Journal of Cleaner Production,Elsevier BV,10.1016/j.jclepro.2026.148831,https://doi.org/10.1016/j.jclepro.2026.148831,,Crossref,inter-basin water transfer,,0.5078,resolving DOI
hold,Global interbasin-transfer literature,"The Impact of Inter-Basin Water Transfer between Johor and Singapore on Johor’s Water Supply System, 1927 to 1941",Mohd Firdaus Abdullah | Ruhana Padzil | Arba’iyah Mohd Noor | Mardiana Nordin,2024,MANUSYA: Journal of Humanities,"Office of Academic Resources, Chulalongkorn University",10.1163/26659077-20242712,https://doi.org/10.1163/26659077-20242712,,Crossref,inter-basin water transfer,,0.75,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,Consideration of Trends in Evaluating Inter-basin Water Transfer Alternatives within a Fuzzy Decision Making Framework,Li Xuesen | Wang Bende | Rajeshwar Mehrotra | Ashish Sharma | Wang Guoli,2009,Water Resources Management,Springer Science and Business Media LLC,10.1007/s11269-009-9430-5,https://doi.org/10.1007/s11269-009-9430-5,http://link.springer.com/content/pdf/10.1007/s11269-009-9430-5.pdf,Crossref,inter-basin water transfer,,0.625,resolving DOI
hold,Global interbasin-transfer literature,AUSTRALIAN-AMERICAN INTERBASIN WATER TRANSFER,M. JOHN LOEFFLER,2010,Annals of the Association of American Geographers,Informa UK Limited,10.1111/j.1467-8306.1970.tb00737.x,https://doi.org/10.1111/j.1467-8306.1970.tb00737.x,,Crossref,interbasin water transfer,,0.6667,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,Interbasin Water Transfer in China,Changming Liu | Laurence J. C. Ma,1983,Geographical Review,JSTOR,10.2307/214833,https://doi.org/10.2307/214833,,Crossref,interbasin water transfer,,0.8,resolving DOI
eligible,Global interbasin-transfer literature,Interbasin Water Transfer Practices in Turkey,Ethem Gonenc I,2014,Journal of Ecosystem &amp; Ecography,OMICS Publishing Group,10.4172/2157-7625.1000149,https://doi.org/10.4172/2157-7625.1000149,,Crossref,interbasin water transfer,,0.6667,resolving DOI
hold,Global interbasin-transfer literature,FEASIBILITY OF INTERBASIN WATER TRANSFER<sup>1</sup>,Gert Aron | Elizabeth L. White | Stephen P. Coelen,2007,JAWRA Journal of the American Water Resources Association,Wiley,10.1111/j.1752-1688.1977.tb03867.x,https://doi.org/10.1111/j.1752-1688.1977.tb03867.x,,Crossref,interbasin water transfer,,0.6733,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,Environmental factors in Soviet interbasin water transfer policy,Philip P. Micklin,1978,Environmental Management,Springer Science and Business Media LLC,10.1007/bf01866715,https://doi.org/10.1007/bf01866715,http://link.springer.com/content/pdf/10.1007/BF01866715.pdf,Crossref,interbasin water transfer,,0.6261,resolving DOI
hold,Global interbasin-transfer literature,Assessing the Impacts of Interbasin Water Transfer Reservoir on Streamflow,Jeffrey Denzil K. Marak | Arup Kumar Sarma | Rajib Kumar Bhattacharjya,2020,Journal of Hydrologic Engineering,American Society of Civil Engineers (ASCE),10.1061/(asce)he.1943-5584.0001984,https://doi.org/10.1061/(asce)he.1943-5584.0001984,,Crossref,interbasin water transfer,,0.7194,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,"Interbasin water transfer: The case of the Nexapa River, Mexico",Navarro-Frómeta Amado Enrique | Crespo-Barrera Paula Montserrat | Horta-Valerdi Guillermo Manuel,2025,MOJ Ecology &amp; Environmental Sciences,MedCrave Group Kft.,10.15406/mojes.2025.10.00338,https://doi.org/10.15406/mojes.2025.10.00338,,Crossref,interbasin water transfer,,0.6364,resolving DOI
eligible,Global interbasin-transfer literature,Use of the channels of flatland rivers for interbasin water transfer,Ya. R. Polyakov,1982,Hydrotechnical Construction,Springer Science and Business Media LLC,10.1007/bf01427171,https://doi.org/10.1007/bf01427171,http://link.springer.com/content/pdf/10.1007/BF01427171.pdf,Crossref,interbasin water transfer,,0.6301,resolving DOI
eligible,Global interbasin-transfer literature,Statistical assessment of interbasin water transfer for karst areas (Turkey),Ahmet Sancak Sanlı | Hayrullah Agaccioglu | Ilke Sinan | Erdal Kesgin | Ibrahim Demir | R. Ilayda Tan,2021,Arabian Journal of Geosciences,Springer Science and Business Media LLC,10.1007/s12517-021-08693-w,https://doi.org/10.1007/s12517-021-08693-w,https://link.springer.com/content/pdf/10.1007/s12517-021-08693-w.pdf,Crossref,interbasin water transfer,,0.72,resolving DOI
hold,Global interbasin-transfer literature,Interbasin water transfer in a changing world: A new conceptual model,Edward Rollason | Pammi Sinha | Louise J Bracken,2021,Progress in Physical Geography: Earth and Environment,SAGE Publications,10.1177/03091333211065004,https://doi.org/10.1177/03091333211065004,https://journals.sagepub.com/doi/pdf/10.1177/03091333211065004,Crossref,interbasin water transfer,,0.6406,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,The Application of Network Planning Programming to Interbasin Water Transfer Project,Yong-xing Chen | Xiao-yan Shang | Wei Wang,2010,2010 International Conference on Management and Service Science,IEEE,10.1109/icmss.2010.5577139,https://doi.org/10.1109/icmss.2010.5577139,,Crossref,interbasin water transfer,,0.5333,resolving DOI
hold,Global interbasin-transfer literature,Water Allocation for Interbasin Water Transfer: Consideration of Ecological and Power Generation Needs,hongsen You | Yong Li | peiying tan | zeyu zhang | yi peng,2024,,Elsevier BV,10.2139/ssrn.4875650,https://doi.org/10.2139/ssrn.4875650,,Crossref,interbasin water transfer,,0.5312,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Fish fauna of the São Francisco River Interbasin Water Transfer reservoirs,Silvia Maria Millan Gutierre | Augusto Luís Bentinho Silva | Giancarlo Arraes Galvão | Luanny Rainy de Almeida Silva | Luiz Cezar Machado Pereira | Patricia Avello Nicola,2023,Biota Neotropica,FapUNIFESP (SciELO),10.1590/1676-0611-bn-2023-1499,https://doi.org/10.1590/1676-0611-bn-2023-1499,,Crossref,interbasin water transfer,,0.6187,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Estimation of excess water in the Sebou basin for an interbasin water transfer,Oussama Laassilia | Driss Ouazar | Ahmed Bouziane | Moulay Driss Hasnaoui,2021,Journal of Applied Water Engineering and Research,Informa UK Limited,10.1080/23249676.2021.1884616,https://doi.org/10.1080/23249676.2021.1884616,,Crossref,interbasin water transfer,,0.5897,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,The Study of Analysis and Measurement of the Comprehensive Water Price through Interbasin Water Transfer,Guo Hui Jiang | Yan Long Xia | Dian Wu Wang | Sen Yan Jiang | Xin Qiao Cai,2011,Advanced Materials Research,"Trans Tech Publications, Ltd.",10.4028/www.scientific.net/amr.374-377.230,https://doi.org/10.4028/www.scientific.net/amr.374-377.230,,Crossref,interbasin water transfer,,0.5385,resolving DOI
hold,Global interbasin-transfer literature,Can interbasin water transfer affect water consumption and pollution? Lessons from China's <scp>South–North</scp> water transfer project,Jichuan Sheng | Weizong Tang | Michael Webber,2020,Environmental Policy and Governance,Wiley,10.1002/eet.1891,https://doi.org/10.1002/eet.1891,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Feet.1891,Crossref,interbasin water transfer,,0.5069,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Multisource data integration and three-dimensional visualization of the interbasin water transfer project,Xiang Yu | Jiancang Xie | Rengui Jiang | Dongfei Yan | Jichao Liang,2017,Advances in Energy Science and Equipment Engineering II,CRC Press,10.1201/9781315116167-86,https://doi.org/10.1201/9781315116167-86,,Crossref,interbasin water transfer,,0.5355,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,Cumulative impacts of interbasin water transfer and salinity intrusion on water security in central Vietnam,Binh Quang Nguyen | Sameh A. Kantoush | Thinh Hung Nguyen | Thao T.P. Bui | Phuoc Sinh Nguyen | Thi Ngoc Canh Doan | Duong Ngoc Vo,2025,Science of The Total Environment,Elsevier BV,10.1016/j.scitotenv.2025.180250,https://doi.org/10.1016/j.scitotenv.2025.180250,,Crossref,interbasin water transfer,,0.5657,resolving DOI
eligible,Global interbasin-transfer literature,Optimal operation of interbasin water transfer multireservoir systems: an empirical analysis from China,Kelin Liu | Zongzhi Wang | Liang Cheng | Lingling Zhang | Huihua Du | Leyan Tan,2019,Environmental Earth Sciences,Springer Science and Business Media LLC,10.1007/s12665-019-8242-z,https://doi.org/10.1007/s12665-019-8242-z,http://link.springer.com/content/pdf/10.1007/s12665-019-8242-z.pdf,Crossref,interbasin water transfer,,0.5202,resolving DOI
hold,Global interbasin-transfer literature,Interbasin water transfer conflicts. The case of the Tagus-Segura Aqueduct (Spain),Alvaro Francisco Morote | María Hernández | Antonio Manuel Rico | Saeid Eslamian,2020,International Journal of Hydrology Science and Technology,Inderscience Publishers,10.1504/ijhst.2020.108267,https://doi.org/10.1504/ijhst.2020.108267,,Crossref,interbasin water transfer,,0.5612,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,"Expansion of Municipal Water and Sewerage Systems and Interbasin Water Transfer in Kanagawa Prefecture, Japan",Midori HARA,1997,"Geographical Review of Japa,. Ser. A, Chirigaku Hyoron",The Association of Japanese Geographers,10.4157/grj1984a.70.8_475,https://doi.org/10.4157/grj1984a.70.8_475,,Crossref,interbasin water transfer,,0.5269,resolving DOI
hold,Global interbasin-transfer literature,Integrated watershed management efforts: case study from Melen Watershed experiencing interbasin water transfer,I. Ozturk | A. Erturk | A. Ekdal | M. Gurel | E. Cokgor | G. Insel | E. Pehlivanoglu-Mantas | A. Ozabali | A. Tanik,2013,Water Supply,IWA Publishing,10.2166/ws.2013.139,https://doi.org/10.2166/ws.2013.139,http://iwaponline.com/ws/article-pdf/13/5/1272/415128/1272.pdf,Crossref,interbasin water transfer,,0.5268,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Interbasin water diversions: A Canadian perspective,Frank Quinn,2025,Journal of Soil and Water Conservation,Informa UK Limited,10.1080/00224561.1987.12456119,https://doi.org/10.1080/00224561.1987.12456119,,Crossref,interbasin water transfer,,0.5091,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,"Socio-economics and hydrological impacts of melamchi intersectoral and interbasin water transfer project, Nepal",Madhusudan Bhattarai | Dhruba Pant | David Molden,2005,Water Policy,IWA Publishing,10.2166/wp.2005.0011,https://doi.org/10.2166/wp.2005.0011,http://iwaponline.com/wp/article-pdf/7/2/163/407110/163.pdf,Crossref,interbasin water transfer,,0.56,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Interbasin water transfer in the Central Highlands of Vietnam: Impacts and lessons learned,Dang Thi Kim Nhung | Nguyen Van Manh | Nguyen Quang Kim,2022,Journal of Water and Land Development,Polish Academy of Sciences Chancellery,10.24425/jwld.2022.140777,https://doi.org/10.24425/jwld.2022.140777,,Crossref,interbasin water transfer,,0.5714,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,Evaluating the impact of interbasin water transfer on water quality in the recipient river basin with SWAT,So-Young Woo | Seong-Joon Kim | Ji-Wan Lee | Se-Hoon Kim | Yong-Won Kim,2021,Science of The Total Environment,Elsevier BV,10.1016/j.scitotenv.2021.145984,https://doi.org/10.1016/j.scitotenv.2021.145984,,Crossref,interbasin water transfer,,0.625,resolving DOI
eligible,Global interbasin-transfer literature,Interbasin water transfer for the rehabilitation of a transboundary Mediterranean stream: An economic analysis,Ariel Akron | Andrea Ghermandi | Tamar Dayan | Yaron Hershkovitz,2017,Journal of Environmental Management,Elsevier BV,10.1016/j.jenvman.2017.07.043,https://doi.org/10.1016/j.jenvman.2017.07.043,,Crossref,interbasin water transfer,,0.5714,resolving DOI
hold,Global interbasin-transfer literature,Improving Information-Based Coordinated Operations in Interbasin Water Transfer Megaprojects: Case Study in Southern India,Sai Veena | Riddhi Singh | David Gold | Patrick Reed | Ajay Bhave,2021,Journal of Water Resources Planning and Management,American Society of Civil Engineers (ASCE),10.1061/(asce)wr.1943-5452.0001456,https://doi.org/10.1061/(asce)wr.1943-5452.0001456,,Crossref,interbasin water transfer,,0.5845,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Deriving Water Allocation Schemes for Interbasin Water Transfer Projects Using a Novel Multiobjective Cuckoo Search Algorithm,Huayu Zhong | Tao Liao | Guohua Fang | Shiwei Zhang | Bingyi Zhou,2024,Journal of Water Resources Planning and Management,American Society of Civil Engineers (ASCE),10.1061/jwrmd5.wreng-6142,https://doi.org/10.1061/jwrmd5.wreng-6142,,Crossref,interbasin water transfer,,0.5636,no resolving DOI or live landing page
hold,Global interbasin-transfer literature,Simulation of the Entire Process of an Interbasin Water Transfer Project for Flow Routing,Xiangmin Ye | Yimin Wang | Zhengyi Xie | Mengdi Huang,2024,Water,MDPI AG,10.3390/w16040572,https://doi.org/10.3390/w16040572,,Crossref,interbasin water transfer,,0.6104,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,Inventory of interbasin water transfers in Minnesota,L.C. Trotta,1988,Open-File Report,US Geological Survey,10.3133/ofr88466,https://doi.org/10.3133/ofr88466,,Crossref,interbasin water transfer,,0.6602,resolving DOI
